company,year,employees_start,employees_end,new_hires,layoffs,net_change,hiring_rate_pct,attrition_rate_pct,revenue_billions_usd,stock_price_change_pct,gdp_growth_us_pct,unemployment_rate_us_pct,is_estimated,confidence_level,data_quality_score,employee_growth_pct,layoff_ratio
AMD,2001,13387,14400,2083,1070,1013,15.6,8.0,3.89,25.1,1.0,4.7,False,Medium,95,7.567042653320385,0.07992828863823112
AMD,2002,14400,12500,0,1900,-1900,0.0,13.2,2.7,42.8,1.7,5.8,False,Medium,95,-13.194444444444445,0.13194444444444445
AMD,2003,12500,12000,0,500,-500,0.0,4.0,3.52,-1.8,2.8,6.0,False,Medium,95,-4.0,0.04
AMD,2004,12000,11700,60,360,-300,0.5,3.0,5.0,-18.6,3.8,5.5,False,Medium,95,-2.5,0.03
AMD,2005,11700,9860,0,1840,-1840,0.0,15.7,5.85,15.2,3.5,5.1,False,Medium,95,-15.726495726495726,0.15726495726495726
AMD,2006,9860,16000,6435,295,6140,65.3,3.0,5.65,47.2,2.8,4.6,False,Medium,95,62.27180527383367,0.029918864097363083
AMD,2007,16000,16420,900,480,420,5.6,3.0,6.01,-8.1,2.0,4.6,False,Medium,95,2.625,0.03
AMD,2008,16420,10300,0,6120,-6120,0.0,37.3,5.81,-19.7,0.1,5.8,False,Medium,95,-37.27161997563947,0.37271619975639464
AMD,2009,10300,10400,924,824,100,9.0,8.0,5.4,35.6,-2.6,9.3,False,Medium,95,0.9708737864077669,0.08
AMD,2010,10400,11100,1012,312,700,9.7,3.0,6.49,0.0,2.7,9.6,False,High,95,6.730769230769231,0.03
AMD,2011,11100,11100,333,333,0,3.0,3.0,6.57,-27.6,1.6,8.9,False,High,95,0.0,0.03
AMD,2012,11100,10600,0,500,-500,0.0,4.5,5.42,38.7,2.3,8.1,False,High,95,-4.504504504504505,0.04504504504504504
AMD,2013,10600,10149,0,451,-451,0.0,4.3,5.3,7.4,1.8,7.4,False,High,95,-4.254716981132075,0.042547169811320756
AMD,2014,10149,9700,0,449,-449,0.0,4.4,5.51,2.9,2.5,6.2,False,High,95,-4.424081190265051,0.04424081190265051
AMD,2015,9700,9700,291,291,0,3.0,3.0,3.99,43.8,2.9,5.3,False,High,95,0.0,0.03
AMD,2016,9700,8900,0,800,-800,0.0,8.2,4.27,40.9,1.6,4.9,False,High,95,-8.24742268041237,0.08247422680412371
AMD,2017,8900,9100,467,267,200,5.2,3.0,5.33,-4.8,2.4,4.4,False,High,95,2.247191011235955,0.03
AMD,2018,9100,10100,1273,273,1000,14.0,3.0,6.48,34.7,2.9,3.9,False,High,95,10.989010989010989,0.03
AMD,2019,10100,11400,1603,303,1300,15.9,3.0,6.73,36.8,2.3,3.7,False,High,95,12.871287128712872,0.03
AMD,2020,11400,13900,2842,342,2500,24.9,3.0,9.76,18.6,-2.8,8.1,False,High,95,21.929824561403507,0.03
AMD,2021,13900,15500,2017,417,1600,14.5,3.0,16.43,43.6,5.8,5.4,False,High,95,11.510791366906476,0.03
AMD,2022,15500,26000,11430,930,10500,73.7,6.0,23.6,-23.5,1.9,3.6,False,High,95,67.74193548387096,0.06
AMD,2023,26000,26000,1560,1560,0,6.0,6.0,22.68,40.5,2.5,3.7,False,High,95,0.0,0.06
AMD,2024,26000,28000,2780,780,2000,10.7,3.0,25.8,28.6,2.8,4.1,True,Medium,85,7.6923076923076925,0.03
AMD,2025,28000,29000,1840,840,1000,6.6,3.0,28.5,22.5,2.3,4.2,True,Medium,85,3.571428571428571,0.03
Adobe,2001,3007,3000,233,240,-7,7.7,8.0,1.23,29.0,1.0,4.7,False,Medium,95,-0.2327901563019621,0.07981376787495843
Adobe,2002,3000,2900,140,240,-100,4.7,8.0,1.17,-5.3,1.7,5.8,False,Medium,95,-3.3333333333333335,0.08
Adobe,2003,2900,3100,287,87,200,9.9,3.0,1.3,-17.4,2.8,6.0,False,Medium,95,6.896551724137931,0.03
Adobe,2004,3100,3300,293,93,200,9.5,3.0,1.67,-26.5,3.8,5.5,False,Medium,95,6.451612903225806,0.03
Adobe,2005,3300,3142,0,158,-158,0.0,4.8,1.97,48.8,3.5,5.1,False,Medium,95,-4.787878787878788,0.04787878787878788
Adobe,2006,3142,6082,3034,94,2940,96.6,3.0,2.58,44.7,2.8,4.6,False,Medium,95,93.57097390197326,0.02991725015913431
Adobe,2007,6082,6500,600,182,418,9.9,3.0,3.16,21.1,2.0,4.6,False,Medium,95,6.872739230516278,0.029924366984544558
Adobe,2008,6500,7335,1355,520,835,20.8,8.0,3.58,30.0,0.1,5.8,False,Medium,95,12.846153846153847,0.08
Adobe,2009,7335,6735,0,600,-600,0.0,8.2,2.95,31.5,-2.6,9.3,False,Medium,95,-8.1799591002045,0.081799591002045
Adobe,2010,6735,9117,2584,202,2382,38.4,3.0,3.8,16.9,2.7,9.6,False,High,95,35.367483296213805,0.029992576095025984
Adobe,2011,9117,9925,1081,273,808,11.9,3.0,4.22,-15.0,1.6,8.9,False,High,95,8.862564440057035,0.029944060546232314
Adobe,2012,9925,11144,1516,297,1219,15.3,3.0,4.4,5.8,2.3,8.1,False,High,95,12.282115869017632,0.029924433249370278
Adobe,2013,11144,11847,1037,334,703,9.3,3.0,4.06,7.3,1.8,7.4,False,High,95,6.308327351040918,0.029971284996410625
